disease,description
Acute Flaccid Myelitis (AFM),"A rare but serious neurological condition that affects the spinal cord, causing muscle weakness and paralysis."
Addison's Disease,A rare disorder of the adrenal glands causing insufficient production of certain hormones.
Alphaviruses,"A group of viruses transmitted by mosquitoes that cause fever and joint pain, including chikungunya and Eastern Equine Encephalitis."
Amyotrophic Lateral Sclerosis (ALS),A progressive neurodegenerative disease that affects nerve cells in the brain and spinal cord.
Ankylosing Spondylitis,"A type of arthritis that primarily affects the spine, causing chronic pain and stiffness."
Arboviral Encephalitis,"A viral infection transmitted by mosquitoes that affects the brain, causing inflammation and neurological symptoms."
Autism Spectrum Disorder (ASD),"A developmental disorder characterized by difficulties with social interaction, communication, and restricted and repetitive behavior."
Babesiosis,"A parasitic infection transmitted by ticks, similar to malaria, that affects red blood cells."
Bacterial Vaginosis,"A common infection caused by an imbalance of bacteria in the vagina, leading to discharge and odor."
Bladder Cancer,A type of cancer that begins in the cells of the bladder and may cause blood in urine.
Breast Cancer,"A type of cancer that forms in the cells of the breasts, often detected by a lump or mammogram."
Cervical Cancer,"A type of cancer that occurs in the cells of the cervix, often caused by the human papillomavirus (HPV)."
Chagas Disease,"A tropical parasitic disease spread by the triatomine bug, causing heart and digestive issues."
Chikungunya,A viral disease transmitted by mosquitoes that causes fever and severe joint pain.
Cholera,"An acute diarrheal illness caused by infection of the intestine with *Vibrio cholerae* bacteria, usually from contaminated water or food."
Clostridium Difficile (C. diff),"A bacterial infection that causes inflammation of the colon and severe diarrhea, often following antibiotic use."
Colon Cancer,"A type of cancer that begins in the large intestine (colon), often developing from polyps."
Conjunctivitis,"Inflammation or infection of the outer membrane of the eyeball and the inner eyelid, commonly known as pink eye."
Crabs (Pubic Lice),"An infestation of the hair-bearing areas of the body, especially the pubic region, with pubic lice."
Creutzfeldt-Jakob Disease,"A rare, degenerative, and fatal brain disorder caused by misfolded proteins (prions)."
Crohns Disease,A chronic inflammatory bowel disease (IBD) affecting the lining of the digestive tract.
Cyclospora,"A parasitic infection of the intestines causing diarrhea, often associated with contaminated food or water."
Cysticercosis,"A tissue infection caused by the pork tapeworm, *Taenia solium*."
Cytomegalovirus (CMV),A common virus that can infect people of all ages and cause complications in immunocompromised individuals and during pregnancy.
Dengue Fever,"A mosquito-borne viral infection causing flu-like symptoms that can develop into severe dengue, which can be fatal."
Diphtheria,"A serious bacterial infection affecting the mucous membranes of the throat and nose, leading to breathing difficulties and complications if untreated."
E. Coli,"A bacterial infection that can cause foodborne illness, often resulting in diarrhea and stomach cramps."
Eastern Equine Encephalitis Virus (EEEV),"A rare but serious viral infection transmitted by mosquitoes, causing brain inflammation."
Ebola Virus Hemorrhagic Fever,A severe and often fatal viral hemorrhagic fever caused by the Ebola virus.
Endometrial Cancer,A type of cancer that begins in the lining of the uterus (endometrium).
Esophageal Cancer,A cancer of the tube that runs from the throat to the stomach.
Giardiasis,"A parasitic infection that causes diarrhea, often transmitted through contaminated water or food."
Graves' Disease,An autoimmune disorder that leads to hyperthyroidism.
Group A Streptococcus (GAS) Infections,"A bacterial infection that can cause a range of illnesses, including strep throat, scarlet fever, and cellulitis."
Guillain-Barr Syndrome,"A rare autoimmune disorder where the body�s immune system attacks the nerves, causing muscle weakness and sometimes paralysis."
Hantavirus,"A viral infection spread by rodents, causing severe respiratory distress."
Hantavirus Pulmonary Syndrome (HPS),A severe respiratory disease in humans caused by hantavirus.
Hemophilia,A genetic disorder where the blood doesn�t clot properly due to the lack of clotting factors.
Huntingtons Disease,A genetic disorder causing the progressive breakdown of nerve cells in the brain.
Idiopathic Pulmonary Fibrosis (IPF),"A lung disease that results in scarring of the lung tissue, leading to respiratory failure."
Kawasaki Disease,A condition that causes inflammation in the walls of some blood vessels in children.
Lassa Fever,"A viral hemorrhagic illness that occurs primarily in West Africa, spread by rodents."
Lead Poisoning,"Chronic exposure to lead that leads to toxic buildup in the body, affecting neurological and physical health."
Legionnaires' Disease,A severe form of pneumonia caused by inhaling the bacteria *Legionella*.
Leprosy (Hansen's Disease),"A chronic bacterial infection that affects the skin, nerves, and mucous membranes."
Leprosy (Hansen's Disease),"A chronic bacterial infection that affects the skin, peripheral nerves, upper respiratory tract, and eyes."
Leptospirosis,"A bacterial infection spread by animals, often affecting the kidneys and liver."
Leukemia,A type of cancer of the blood or bone marrow characterized by an abnormal increase in white blood cells.
Listeriosis,"A bacterial infection that can cause serious illness, particularly in pregnant women, newborns, older adults, and immunocompromised individuals."
Lupus,"An autoimmune disease where the body's immune system attacks its own tissues, causing inflammation."
Lyme Disease,"A bacterial infection transmitted by the bite of an infected black-legged tick, also known as a deer tick."
Lymphoma,"Cancer of the lymphatic system, including lymph nodes, spleen, and bone marrow."
Malaria,A mosquito-borne infectious disease caused by parasites of the *Plasmodium* genus.
Marfan Syndrome,"A genetic disorder affecting connective tissue, leading to heart, eye, and skeletal issues."
Meningococcal Disease,A bacterial infection that can lead to severe complications such as meningitis and septicemia.
Middle East Respiratory Syndrome (MERS),"A viral respiratory illness caused by a coronavirus (MERS-CoV), with symptoms ranging from mild to severe respiratory distress."
Mpox (Monkeypox),"A viral zoonotic infection that causes symptoms similar to smallpox, but less severe."
MRSA (Methicillin-Resistant Staphylococcus Aureus),"A bacterial infection resistant to many antibiotics, causing skin infections and sometimes more severe illnesses."
Mumps,"A viral infection that affects the salivary glands, causing swelling and pain."
Myasthenia Gravis,"A chronic autoimmune disorder that affects the communication between nerves and muscles, leading to muscle weakness."
Naegleria Fowleri,A rare but deadly infection of the brain caused by an amoeba found in warm freshwater.
Obsessive-Compulsive Disorder (OCD),"A chronic condition characterized by uncontrollable, recurring thoughts (obsessions) and behaviors (compulsions)."
Ovarian Cancer,A type of cancer that begins in the ovaries and can spread to other parts of the body.
Pelvic Inflammatory Disease (PID),"An infection of the female reproductive organs, often caused by sexually transmitted infections."
Pertussis (Whooping Cough),A highly contagious respiratory infection characterized by severe coughing fits.
Pneumonia,"An infection that inflames the air sacs in one or both lungs, causing cough, fever, and difficulty breathing."
Post-Traumatic Stress Disorder (PTSD),A mental health condition triggered by experiencing or witnessing a terrifying event.
Prader-Willi Syndrome,"A rare genetic disorder resulting in a constant sense of hunger, developmental delays, and behavioral issues."
Rett Syndrome,A rare genetic neurological and developmental disorder that affects the way the brain develops.
Rickets,"A skeletal disorder caused by a lack of vitamin D, calcium, or phosphate, leading to weak or soft bones in children."
Rocky Mountain Spotted Fever,"A bacterial infection transmitted by the bite of an infected tick, leading to a potentially fatal illness if not treated promptly."
Rubella (German Measles),A contagious viral infection with mild symptoms in children and adults but serious complications during pregnancy.
Sarcoidosis,"An inflammatory disease that affects multiple organs in the body, particularly the lungs and lymph glands."
Scabies,"A skin condition caused by mites that burrow into the skin, causing intense itching and rashes."
Scurvy,"A disease caused by a deficiency in vitamin C, leading to fatigue, gum disease, and skin issues."
Shigellosis,"A bacterial infection that causes diarrhea, often spread through contaminated food or water."
Sickle Cell Disease,"A group of inherited red blood cell disorders where the cells become rigid and shaped like a sickle, leading to blockages in blood flow."
Spina Bifida,A birth defect where the spine and spinal cord don�t form properly.
Tetanus,A serious bacterial infection that causes painful muscle spasms and can lead to death.
Thalassemia,"A genetic blood disorder causing the body to produce an abnormal form of hemoglobin, leading to anemia."
Thyroid Cancer,A cancer that forms in the thyroid gland.
Tourette Syndrome,A nervous system disorder involving repetitive movements or unwanted sounds (tics) that can�t be easily controlled.
Toxoplasmosis,A parasitic infection that can cause severe complications in immunocompromised individuals and pregnant women.
Turner Syndrome,A chromosomal disorder in females where one of the X chromosomes is missing or partially missing.
West Nile Virus (WNV),A viral infection transmitted by mosquitoes that can cause neurological complications.
Zika Virus,A viral infection transmitted by mosquitoes that can cause birth defects if contracted during pregnancy.
